Trade #,Type,Date et heure,Signal,Prix USDT,Taille de la position (qté),Taille de la position (valeur),P&L Net USDT,P&L Net %,Excursion favorable USDT,Excursion favorable %,Excursion adverse USDT,Excursion adverse %,P&L cumulé USDT,P&L cumulé %
1,Sortir du short,2025-11-22 11:00,Exit Short,#NUM!,36543029.42,-19989.03709,39.98,-0.20,0,0.00,0,0.00,39.98,0.40
1,Entrer short,2025-11-22 11:00,Short,#NUM!,36543029.42,-19989.03709,39.98,-0.20,0,0.00,0,0.00,39.98,0.40
2,Sortir du short,2025-11-22 15:00,Exit Short,#NUM!,30953671.36,-15941.14075,31.88,-0.20,0,0.00,0,0.00,71.86,0.72
2,Entrer short,2025-11-22 15:00,Short,#NUM!,30953671.36,-15941.14075,31.88,-0.20,0,0.00,0,0.00,71.86,0.72
3,Sortir du short,2025-11-22 19:00,Exit Short,#NUM!,30962235.37,-22107.03606,44.21,-0.20,0,0.00,0,0.00,116.07,1.16
3,Entrer short,2025-11-22 19:00,Short,#NUM!,30962235.37,-22107.03606,44.21,-0.20,0,0.00,0,0.00,116.07,1.16
4,Sortir du short,2025-11-23 05:00,Exit Short,#NUM!,39173150.66,-19821.61424,39.64,-0.20,0,0.00,0,0.00,155.72,1.56
4,Entrer short,2025-11-23 05:00,Short,#NUM!,39173150.66,-19821.61424,39.64,-0.20,0,0.00,0,0.00,155.72,1.56
5,Sortir du short,2025-11-23 13:00,Exit Short,#NUM!,36365880.64,-20073.96611,40.15,-0.20,0,0.00,0,0.00,195.87,1.96
5,Entrer short,2025-11-23 13:00,Short,#NUM!,36365880.64,-20073.96611,40.15,-0.20,0,0.00,0,0.00,195.87,1.96
6,Sortir du short,2025-11-23 21:00,Exit Short,#NUM!,36607301.41,-18962.58213,37.93,-0.20,0,0.00,0,0.00,233.79,2.34
6,Entrer short,2025-11-23 21:00,Short,#NUM!,36607301.41,-18962.58213,37.93,-0.20,0,0.00,0,0.00,233.79,2.34
7,Sortir du short,2025-11-23 23:00,Exit Short,#NUM!,44074121.98,-21155.57855,42.31,-0.20,0,0.00,0,0.00,276.1,2.76
