trade_id,date,time,direction,entry,sl,tp,exit_price,exit_reason,pnl_usd,pnl_pts,sl_pts,adx_at_entry
1,2026-01-23,12:40,SHORT,25730.0,25747.25,25704.12,25704.12,TP,1025.0,25.88,17.25,23.69
2,2026-01-27,14:10,LONG,26086.75,26076.5,26102.12,26102.12,TP,605.0,15.38,10.25,13.71
3,2026-01-28,14:00,SHORT,26152.75,26168.0,26129.88,26129.88,TP,905.0,22.88,15.25,19.84
4,2026-02-06,15:30,SHORT,25104.0,25123.25,25075.12,25123.25,SL,-780.0,-19.25,19.25,15.12
5,2026-02-12,15:05,SHORT,24867.25,24884.75,24841.0,24841.0,TP,1040.0,26.25,17.5,19.87
6,2026-02-20,13:30,LONG,25027.5,25006.5,25059.0,25006.5,SL,-850.0,-21.0,21.0,21.76
7,2026-03-04,14:25,SHORT,25194.5,25210.75,25170.12,25170.12,TP,965.0,24.38,16.25,14.94
8,2026-03-11,11:10,SHORT,24993.25,25008.5,24970.38,24970.38,TP,905.0,22.88,15.25,20.52
9,2026-03-13,14:10,LONG,24401.0,24389.25,24418.62,24389.25,SL,-480.0,-11.75,11.75,23.12
10,2026-03-19,14:25,SHORT,24468.75,24495.5,24428.62,24428.62,TP,1595.0,40.12,26.75,25.0
