Coin,TF,#,EntryUTC,Direction,EntryPrice,ExitPrice,ExitType,PnL%,Regime,ADX,RSI,ExitUTC
ETH,30M,1,2026-03-08 15:30,SHORT,1941.9000,1980.7380,SL,-2.00,TREND,39.5,45.2,2026-03-09 03:00
ETH,30M,2,2026-03-09 16:00,LONG,2027.7000,2230.4700,TP,+10.00,TREND,25.3,52.5,2026-03-16 03:30
ETH,30M,3,2026-03-16 06:00,LONG,2264.1000,2218.8180,SL,-2.00,TREND,58.0,62.3,2026-03-18 14:00
ETH,30M,4,2026-03-18 16:00,SHORT,2174.0000,2217.4800,SL,-2.00,TREND,45.6,45.4,2026-03-18 18:00
ETH,30M,5,2026-03-19 03:00,LONG,2227.3000,2182.7540,SL,-2.00,TREND,34.6,49.6,2026-03-19 06:00
ETH,30M,6,2026-03-19 12:00,SHORT,2154.4000,2197.4880,SL,-2.00,TREND,25.8,45.5,2026-03-23 11:00
ETH,30M,7,2026-03-25 08:00,LONG,2178.9000,2135.7675,SL,-1.98,TREND,26.5,53.2,2026-03-26 05:30
ETH,30M,8,2026-03-26 08:00,SHORT,2115.0000,2157.3000,SL,-2.00,TREND,31.1,47.5,2026-04-01 17:00
ETH,30M,9,2026-04-01 19:00,LONG,2140.6000,2097.7880,SL,-2.00,TREND,25.1,55.2,2026-04-02 01:30
ETH,30M,10,2026-04-05 08:00,SHORT,2036.4000,2071.7070,SL,-1.73,TREND,29.5,46.9,2026-04-05 20:30
ETH,30M,11,2026-04-05 22:30,LONG,2084.6000,2069.8000,OPEN,-0.71,TREND,25.5,53.3,2026-04-07 15:00
